PI,%S,%FA,M,A/B,Na/Al,Si/Al, UCS
88.46,20,0,4,0.45,0.39,1.49,0.0595
88.46,16,0,4,0.45,0.39,1.49,0.0616
88.46,12,0,4,0.45,0.39,1.49,0.0551
88.46,8,0,4,0.45,0.39,1.49,0.0494
88.46,4,0,4,0.45,0.39,1.49,0.0484
88.46,20,0,8,0.45,0.69,1.49,0.1784
88.46,16,0,8,0.45,0.69,1.49,0.1044
88.46,12,0,8,0.45,0.69,1.49,0.0542
88.46,8,0,8,0.45,0.69,1.49,0.0638
88.46,4,0,8,0.45,0.69,1.49,0.0553
88.46,20,0,12,0.45,0.93,1.49,1.836
88.46,16,0,12,0.45,0.93,1.49,1.5198
88.46,12,0,12,0.45,0.93,1.49,0.442
88.46,8,0,12,0.45,0.93,1.49,0.0738
88.46,4,0,12,0.45,0.93,1.49,0.0557
88.46,20,0,12,0.65,1.34,1.49,3.8335
88.46,16,0,12,0.65,1.34,1.49,2.5293
88.46,12,0,12,0.65,1.34,1.49,1.5138
88.46,8,0,12,0.65,1.34,1.49,0.4841
88.46,4,0,12,0.65,1.34,1.49,0
88.46,20,0,12,0.85,1.75,1.49,4.0932
88.46,16,0,12,0.85,1.75,1.49,3.0047
88.46,12,0,12,0.85,1.75,1.49,1.2701
88.46,8,0,12,0.85,1.75,1.49,0.5495
88.46,4,0,12,0.85,1.75,1.49,0.3633
88.46,20,0,15,0.45,1.05,1.49,3.7829
88.46,16,0,15,0.45,1.05,1.49,2.4024
88.46,12,0,15,0.45,1.05,1.49,1.2396
88.46,8,0,15,0.45,1.05,1.49,0.2017
88.46,4,0,15,0.45,1.05,1.49,0.064
88.46,20,0,15,0.65,1.52,1.49,4.7478
88.46,16,0,15,0.65,1.52,1.49,3.1467
88.46,12,0,15,0.65,1.52,1.49,1.6606
88.46,8,0,15,0.65,1.52,1.49,0.5452
88.46,4,0,15,0.65,1.52,1.49,0.0513
88.46,20,0,15,0.85,1.98,1.49,3.1376
88.46,16,0,15,0.85,1.98,1.49,2.6131
88.46,12,0,15,0.85,1.98,1.49,1.4259
88.46,8,0,15,0.85,1.98,1.49,0.635
